run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__conflation__s1,dmlab_seekavoid,cvae,conflation,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4738888888888889,1.5625271493417245,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__single_shift__s1,lichess_top3,cvae,single_shift,1,0.7275362318840579,0.7275362318840579,0.7797101449275362,0.9623188405797102,nan,nan,nan,nan,,0.15588566284042313,4.939903458125844,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__specialization__s0,dmlab_seekavoid,inr_transformer_fitted_latent,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.2774074074074074,2.494342866120515,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__single_shift__s1,lichess_top3,inr_transformer_fitted_latent,single_shift,1,0.5478260869565217,0.5478260869565217,0.5420289855072464,0.9637681159420289,nan,nan,nan,nan,,0.2085077650236327,4.501918693643794,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__specialization__s0,lichess_top3,inr_diffusion_history_conditioned,specialization,0,0.5447941888619855,0.5447941888619855,0.549636803874092,0.9491525423728814,nan,nan,nan,nan,,0.00011614401858304297,0.0,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__single_shift__s1,dmlab_seekavoid,cvae,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.42314814814814816,1.9608478065773294,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__single_shift__s0,lichess_top3,cvae,single_shift,0,0.7492753623188406,0.7492753623188406,0.7971014492753623,0.9608695652173913,nan,nan,nan,nan,,0.1495656894679696,4.911556620810112,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__single_shift__s1,dmlab_seekavoid,inr_transformer_history_conditioned,single_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4666666666666667,1.8229728981300637,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__specialization__s1,lichess_top3,inr_diffusion_history_conditioned,specialization,1,0.5351089588377724,0.5351089588377724,0.5641646489104116,0.9661016949152542,nan,nan,nan,nan,,0.0008957563542716381,0.0,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__specialization__s0,lichess_top3,cvae,specialization,0,0.6319612590799032,0.6319612590799032,0.6949152542372882,0.9418886198547215,nan,nan,nan,nan,,0.06573751451800232,5.740203212334857,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__conflation__s0,lichess_top3,inr_diffusion_history_conditioned,conflation,0,0.8623188405797102,0.8623188405797102,0.7840579710144927,0.9420289855072463,nan,nan,nan,nan,,0.0010405356496561709,0.0,1.0,,3217,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__new_policy__s0,lichess_top3,inr_transformer_fitted_latent,new_policy,0,0.4572025052192067,0.682952182952183,0.38900487125956856,0.6506610995128741,0.011829819530248642,nan,nan,nan,,0.20733285132615395,4.441531708960963,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__single_shift__s0,lichess_top3,inr_diffusion_history_conditioned,single_shift,0,0.6884057971014492,0.6884057971014492,0.5884057971014492,0.9666666666666667,nan,nan,nan,nan,,0.00040716612377850165,0.0,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__conflation__s1,dmlab_seekavoid,inr_transformer_history_conditioned,conflation,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5161111111111111,1.4858586685745805,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__no_shift__s0,dmlab_seekavoid,inr_transformer_fitted_latent,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5874074074074074,1.112136168303313,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__new_policy__s1,lichess_top3,cvae,new_policy,1,0.5128740431454419,0.7661122661122661,0.5407098121085595,0.651356993736952,9.65656566619873,nan,nan,nan,,0.1572484841573055,4.860808703766649,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__new_policy__s1,lichess_top3,inr_transformer_fitted_latent,new_policy,1,0.4495476687543493,0.6715176715176715,0.38970076548364646,0.6381350034794712,0.009058653376996517,nan,nan,nan,,0.20571743551728727,4.445887748603845,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__specialization__s1,dmlab_seekavoid,cvae,specialization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.2874074074074074,2.7625179488570604,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__novel_generalization__s1,lichess_top3,inr_transformer_history_conditioned,novel_generalization,1,0.3848295059151009,0.5748440748440748,0.35908141962421714,0.6562282533054976,4.482044696807861,nan,nan,nan,,0.07418600672863089,5.762733610433476,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__cvae__generalization__s0,dmlab_seekavoid,cvae,generalization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5401851851851852,1.3677040891294125,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__conflation__s0,lichess_top3,cvae,conflation,0,0.9028985507246376,0.9028985507246376,0.808695652173913,0.9652173913043478,nan,nan,nan,nan,,0.14477017734346725,5.187519787275139,1.0,,3217,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__no_shift__s0,dmlab_seekavoid,inr_transformer_history_conditioned,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.6824074074074075,0.8310714891221789,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__new_policy__s0,lichess_top3,inr_diffusion_history_conditioned,new_policy,0,0.4606819763395964,0.6881496881496881,0.4196242171189979,0.6423103688239388,0.07589072734117508,nan,nan,nan,,0.0008371703641691084,0.0,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__single_shift__s1,lichess_top3,inr_transformer_history_conditioned,single_shift,1,0.6565217391304348,0.6565217391304348,0.5942028985507246,0.9623188405797102,nan,nan,nan,nan,,0.20918298446995273,4.455499488749859,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__specialization__s0,lichess_top3,inr_transformer_fitted_latent,specialization,0,0.5254237288135594,0.5254237288135594,0.5472154963680388,0.9636803874092009,nan,nan,nan,nan,,0.09639953542392567,5.3307819929134,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__specialization__s1,lichess_top3,cvae,specialization,1,0.6779661016949152,0.6779661016949152,0.6755447941888619,0.9467312348668281,nan,nan,nan,nan,,0.06415854887470608,5.805792652523514,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__no_shift__s0,lichess_top3,inr_diffusion_history_conditioned,no_shift,0,0.6881496881496881,0.6881496881496881,0.6237006237006237,0.9584199584199584,nan,nan,nan,nan,,0.0009013830596321231,0.0,1.0,,4490,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__single_shift__s1,lichess_top3,inr_diffusion_history_conditioned,single_shift,1,0.6579710144927536,0.6579710144927536,0.6130434782608696,0.9681159420289855,nan,nan,nan,nan,,0.0013504388926401081,0.0,1.0,,4490,690,690,205
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__new_policy__s1,lichess_top3,inr_transformer_history_conditioned,new_policy,1,0.476687543493389,0.7120582120582121,0.41892832289492,0.6416144745998609,6.447261333465576,nan,nan,nan,,0.20621162874684001,4.389541664550605,1.0,,4490,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_diffusion_history_conditioned__novel_generalization__s0,lichess_top3,inr_diffusion_history_conditioned,novel_generalization,0,0.42379958246346555,0.6330561330561331,0.3792623521224774,0.6478775226165623,0.24949048459529877,nan,nan,nan,,0.0008371703641691084,0.0,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_diffusion_history_conditioned__no_shift__s1,dmlab_seekavoid,inr_diffusion_history_conditioned,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.27111111111111114,0.0,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__generalization__s1,lichess_top3,inr_transformer_history_conditioned,generalization,1,0.5748440748440748,0.5748440748440748,0.5363825363825364,0.9802494802494802,nan,nan,nan,nan,,0.07657492008712624,5.745533948922433,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__specialization__s0,lichess_top3,inr_transformer_history_conditioned,specialization,0,0.5714285714285714,0.5714285714285714,0.5399515738498789,0.9564164648910412,nan,nan,nan,nan,,0.09535423925667828,5.323609872922111,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__no_shift__s0,lichess_top3,inr_transformer_fitted_latent,no_shift,0,0.682952182952183,0.682952182952183,0.5821205821205822,0.9719334719334719,nan,nan,nan,nan,,0.22971183910312384,4.275407657627052,1.0,,4490,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__specialization__s1,lichess_top3,inr_transformer_fitted_latent,specialization,1,0.5254237288135594,0.5254237288135594,0.5060532687651331,0.9418886198547215,nan,nan,nan,nan,,0.091591087224275,5.426025992023919,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__specialization__s1,lichess_top3,inr_transformer_history_conditioned,specialization,1,0.6004842615012107,0.6004842615012107,0.5254237288135594,0.9418886198547215,nan,nan,nan,nan,,0.08756018363005262,5.355852305829065,1.0,,4490,413,413,413
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__generalization__s0,lichess_top3,inr_transformer_fitted_latent,generalization,0,0.498960498960499,0.498960498960499,0.4792099792099792,0.9604989604989606,nan,nan,nan,nan,,0.0695191684741275,5.727471348050715,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__generalization__s0,dmlab_seekavoid,inr_transformer_fitted_latent,generalization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5094444444444445,1.4931382016782409,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__novel_generalization__s1,lichess_top3,cvae,novel_generalization,1,0.42519137091162146,0.6351351351351351,0.38552540013917885,0.6520528879610299,6.489702224731445,nan,nan,nan,,0.04472448727452434,5.982625429931775,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__conflation__s1,dmlab_seekavoid,inr_transformer_fitted_latent,conflation,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.45425925925925925,1.6553299458821615,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_history_conditioned__specialization__s0,dmlab_seekavoid,inr_transformer_history_conditioned,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.3118518518518518,2.492392894603588,1.0,,84,18,18,18
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_transformer_fitted_latent__single_shift__s0,dmlab_seekavoid,inr_transformer_fitted_latent,single_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.41444444444444445,1.8424654303656685,1.0,,84,18,18,9
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__cvae__novel_generalization__s0,lichess_top3,cvae,novel_generalization,0,0.39318023660403617,0.5873180873180873,0.3542101600556715,0.6423103688239388,6.656517505645752,nan,nan,nan,,0.04104037444347197,6.0186296883472785,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_history_conditioned__novel_generalization__s0,lichess_top3,inr_transformer_history_conditioned,novel_generalization,0,0.39526791927627003,0.5904365904365905,0.35490605427974947,0.6478775226165623,4.3756794929504395,nan,nan,nan,,0.06815327828303969,5.7946343717521005,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__novel_generalization__s1,lichess_top3,inr_transformer_fitted_latent,novel_generalization,1,0.3430758524704245,0.5124740124740125,0.34029227557411273,0.6520528879610299,0.006971114315092564,nan,nan,nan,,0.07340670202049002,5.740213799083723,1.0,,1924,1437,1437,0
/mnt/data/INR/outputs/lichess_dmlab_v2/dmlab_seekavoid__inr_diffusion_history_conditioned__generalization__s0,dmlab_seekavoid,inr_diffusion_history_conditioned,generalization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.1514814814814815,0.0,1.0,,84,18,18,0
/mnt/data/INR/outputs/lichess_dmlab_v2/lichess_top3__inr_transformer_fitted_latent__conflation__s1,lichess_top3,inr_transformer_fitted_latent,conflation,1,0.7043478260869566,0.7043478260869566,0.7318840579710145,0.8884057971014493,nan,nan,nan,nan,,0.20229574611748818,4.748319232192846,1.0,,3217,690,690,205
