run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
/mnt/data/INR/outputs/lichess_full_hk120_latent128/lichess_top3_full__inr_transformer_fitted_latent__no_shift__s0,lichess_top3_full,inr_transformer_fitted_latent,no_shift,0,0.7765072765072765,0.7765072765072765,nan,nan,nan,nan,,0.22512041914312272,4.341094113656129,1.0,,4490,962,962,0
/mnt/data/INR/outputs/lichess_full_hk120_latent128/lichess_top3_full__inr_transformer_fitted_latent__generalization__s0,lichess_top3_full,inr_transformer_fitted_latent,generalization,0,0.5405405405405406,0.5405405405405406,nan,nan,nan,nan,,0.07129376637277823,5.805192958294199,1.0,,1924,962,962,0
/mnt/data/INR/outputs/lichess_full_hk120_latent128/lichess_top3_full__inr_transformer_fitted_latent__conflation__s0,lichess_top3_full,inr_transformer_fitted_latent,conflation,0,0.7231884057971014,0.7231884057971014,nan,nan,nan,nan,,0.19471588852696345,4.826938199772595,1.0,,3217,690,690,205
