run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_walker2d__inr_transformer_fitted_latent__new_policy__s0,custom_mujoco_action_resampled_v2_walker2d,inr_transformer_fitted_latent,new_policy,0,0.6666666666666666,1.0,0.24021564424037933,0.4123418629169464,0.3907360519409295,0.2893092930316925,0.642138507579904,,,1.0,1.0552951560745238,358,117,117,0
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_humanoid__cvae__single_shift__s0,custom_mujoco_action_resampled_v2_humanoid,cvae,single_shift,0,1.0,1.0,nan,0.17044122517108917,0.15334220563100864,0.005410239100456238,0.41284527994284875,,,1.0,1.1115088926086425,358,58,58,19
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_halfcheetah__inr_transformer_history_conditioned__generalization__s1,custom_mujoco_action_resampled_v2_halfcheetah,inr_transformer_history_conditioned,generalization,1,1.0,1.0,nan,0.5833972692489624,0.5073618670623279,0.44655320048332214,0.7638044705609953,,,1.0,1.1498642431030273,180,78,78,0
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_walker2d__cvae__specialization__s1,custom_mujoco_action_resampled_v2_walker2d,cvae,specialization,1,1.0,1.0,nan,0.9104471802711487,0.7834775086006232,0.6027505993843079,0.9541735587780394,,,1.0,1.162059115005493,358,38,38,38
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_walker2d__cvae__single_shift__s0,custom_mujoco_action_resampled_v2_walker2d,cvae,single_shift,0,1.0,1.0,nan,0.25588688254356384,0.24919240479405688,0.00857221893966198,0.5058526292741433,,,1.0,1.026864694190979,358,58,58,19
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_humanoid__inr_diffusion_history_conditioned__specialization__s1,custom_mujoco_action_resampled_v2_humanoid,inr_diffusion_history_conditioned,specialization,1,1.0,1.0,nan,0.6713240146636963,0.4931001391857327,0.5224556922912598,0.8193436486991867,,,1.0,1.3614354596862792,358,38,38,38
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_halfcheetah__inr_transformer_fitted_latent__no_shift__s1,custom_mujoco_action_resampled_v2_halfcheetah,inr_transformer_fitted_latent,no_shift,1,1.0,1.0,nan,0.20391471683979034,0.20312061375826626,0.17835688591003418,0.45156917171103517,,,1.0,1.0039095149765014,358,78,78,0
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_ant__inr_transformer_history_conditioned__single_shift__s0,custom_mujoco_action_resampled_v2_ant,inr_transformer_history_conditioned,single_shift,0,0.9827586206896551,0.9827586206896551,nan,0.5829876065254211,0.375334880746838,0.0005843855906277895,0.7635362509569674,,,1.0,1.5532465444335937,358,58,58,19
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_hopper__inr_transformer_history_conditioned__conflation__s0,custom_mujoco_action_resampled_v2_hopper,inr_transformer_history_conditioned,conflation,0,1.0,1.0,nan,0.0016680591506883502,0.001641149922986772,0.0006962595507502556,0.040841879862322086,,,1.0,1.0163965688476562,269,58,58,19
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_walker2d__inr_diffusion_history_conditioned__no_shift__s0,custom_mujoco_action_resampled_v2_walker2d,inr_diffusion_history_conditioned,no_shift,0,1.0,1.0,nan,0.1668260097503662,0.1663413508418197,0.07083278149366379,0.4084433984658905,,,1.0,1.0029136405715942,358,78,78,0
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_halfcheetah__inr_diffusion_history_conditioned__generalization__s1,custom_mujoco_action_resampled_v2_halfcheetah,inr_diffusion_history_conditioned,generalization,1,1.0,1.0,nan,1.2977126836776733,1.128579040057513,1.0446947813034058,1.1391719289368367,,,1.0,1.1498642431030273,180,78,78,0
outputs/suites/action_resampled_v2/runs/custom_mujoco_action_resampled_v2/custom_mujoco_action_resampled_v2_humanoid__cvae__specialization__s0,custom_mujoco_action_resampled_v2_humanoid,cvae,specialization,0,1.0,1.0,nan,0.5474274754524231,0.40028053077644,0.39323002099990845,0.739883420176735,,,1.0,1.3676095472106933,358,38,38,38
