run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__novel_generalization__s1,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,novel_generalization,1,0.625,0.7575757575757576,3.860687732696533,0.17881664633750916,0.15645118684180076,0.06851067394018173,0.4228671733978758,,,1.0,1.142954872680664,32,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__no_shift__s1,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,no_shift,1,0.8787878787878788,0.8787878787878788,nan,0.02405441366136074,0.02767905483289394,0.002401644131168723,0.1550948537552447,,,1.0,0.8690475092658997,156,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__conflation__s1,droid_lowdim_full_10x_min200,cvae,conflation,1,0.8846153846153846,0.8846153846153846,nan,0.06287935376167297,0.07243360252713787,0.018439101055264473,0.25075755972985736,,,1.0,0.8680964575538636,121,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_diffusion_history_conditioned__no_shift__s1,droid_lowdim_full_10x_min200,inr_diffusion_history_conditioned,no_shift,1,0.9090909090909091,0.9090909090909091,nan,0.18728706240653992,0.2155084278013117,0.014719049446284771,0.4327667528895212,,,1.0,0.8690475092658997,156,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_history_conditioned__conflation__s0,droid_lowdim_full_10x_min200,inr_transformer_history_conditioned,conflation,0,0.8846153846153846,0.8846153846153846,nan,0.02367756888270378,0.022061138531370088,0.004548496566712856,0.15387517305499215,,,1.0,1.073270486427307,121,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_infer_latent_maml__no_shift__s1,droid_lowdim_full_10x_min200,inr_transformer_infer_latent_maml,no_shift,1,0.6666666666666666,0.6666666666666666,nan,0.07426673173904419,0.08545761991974254,0.02407120168209076,0.2725192318700539,,,1.0,0.8690475092658997,156,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_fitted_latent__single_shift__s1,droid_lowdim_full_10x_min200,inr_transformer_fitted_latent,single_shift,1,0.9230769230769231,0.9230769230769231,nan,0.07317259162664413,0.07925820465776608,0.022750411182641983,0.27050432829558224,,,1.0,0.9232178793678284,156,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_diffusion_history_conditioned__new_policy__s1,droid_lowdim_full_10x_min200,inr_diffusion_history_conditioned,new_policy,1,0.75,0.9090909090909091,1.2949126958847046,0.18885739147663116,0.22289676044350787,0.01484442688524723,0.43457725605078684,,,1.0,0.8472863899002075,156,40,40,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_fitted_latent__specialization__s0,droid_lowdim_full_10x_min200,inr_transformer_fitted_latent,specialization,0,0.8333333333333334,0.8333333333333334,nan,0.06519303470849991,0.08058882985497073,0.019742678850889206,0.25532926723840316,,,1.0,0.8089586959609986,156,6,6,6
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__single_shift__s0,droid_lowdim_full_10x_min200,cvae,single_shift,0,0.7692307692307693,0.7692307692307693,nan,0.06683623045682907,0.059042356879491685,0.022177428007125854,0.25852704008832245,,,1.0,1.1320047841796874,156,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_infer_latent_maml__conflation__s1,droid_lowdim_full_10x_min200,inr_transformer_infer_latent_maml,conflation,1,0.9230769230769231,0.9230769230769231,nan,0.07043646275997162,0.08113898190351869,0.02035706117749214,0.26539868643226483,,,1.0,0.8680964575538636,121,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__no_shift__s0,droid_lowdim_full_10x_min200,cvae,no_shift,0,0.696969696969697,0.696969696969697,nan,0.06710168719291687,0.06688129796636182,0.02122163400053978,0.25903993358730787,,,1.0,1.0032952295074462,156,33,33,0
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__cvae__conflation__s0,droid_lowdim_full_10x_min200,cvae,conflation,0,0.9615384615384616,0.9615384615384616,nan,0.06377128511667252,0.05941771987875469,0.018529990687966347,0.25252977075321736,,,1.0,1.073270486427307,121,26,26,1
outputs/droid/10x_min200_hk200_mat512/droid_lowdim_full_10x_min200__inr_transformer_infer_latent_maml__single_shift__s1,droid_lowdim_full_10x_min200,inr_transformer_infer_latent_maml,single_shift,1,0.7307692307692307,0.7307692307692307,nan,0.07279206812381744,0.07884603380261837,0.025149432942271233,0.2698000521197456,,,1.0,0.9232178793678284,156,26,26,1
