run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_history_conditioned_shuffle__specialization__s0,dmlab_seekavoid_full,inr_transformer_history_conditioned_shuffle,specialization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.36524300441826213,2.0032741001674106,1.0,,118,12,12,12
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_history_conditioned_shuffle__single_shift__s0,dmlab_seekavoid_full,inr_transformer_history_conditioned_shuffle,single_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4485512206251426,1.7701602059359314,1.0,,118,18,18,6
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__generalization__s1,dmlab_seekavoid_full,vqvae,generalization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.4315277777777778,1.7037215158674452,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__no_shift__s1,dmlab_seekavoid_full,vqvae,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5295833333333333,1.4417779148949517,1.0,,118,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__no_shift__s0,dmlab_seekavoid_full,vqvae,no_shift,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5105555555555555,1.5231874158647325,1.0,,118,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__generalization__s0,dmlab_seekavoid_full,cvae_rnn,generalization,0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.42486111111111113,1.7861920971340604,1.0,,50,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__vqvae__specialization__s1,dmlab_seekavoid_full,vqvae,specialization,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.3602115003304693,2.047122488885389,1.0,,118,12,12,12
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_diffusion_history_conditioned_shuffle__no_shift__s1,dmlab_seekavoid_full,inr_diffusion_history_conditioned_shuffle,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.18472222222222223,0.0,1.0,,118,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__cvae_rnn__no_shift__s1,dmlab_seekavoid_full,cvae_rnn,no_shift,1,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,0.5230555555555556,1.4716134876675075,1.0,,118,24,24,0
outputs/dmlabseekavoid/dmlab_v2_combined_newmodels/dmlab_seekavoid_full__inr_transformer_fitted_latent_shuffle__single_shift__s0,dmlab_seekavoid_full,inr_transformer_fitted_latent_shuffle,single_shift,0,0.9444444444444444,0.9444444444444444,1.0,1.0,nan,nan,nan,nan,,0.4029203741729409,1.8490316228672927,1.0,,118,18,18,6
