run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_infer_latent_maml__new_policy__s0,droid_lowdim_full_10x,inr_transformer_infer_latent_maml,new_policy,0,0.5826086956521739,0.7528089887640449,4.0275575884152204e-05,0.08335158228874207,0.07911609050629552,0.02943526580929756,0.2887067409825099,,,1.0,1.053535150123596,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_fitted_latent__new_policy__s1,droid_lowdim_full_10x,inr_transformer_fitted_latent,new_policy,1,0.5043478260869565,0.651685393258427,0.0005546072497963905,0.0768202692270279,0.09091740834578954,0.02527313120663166,0.2771646969349233,,,1.0,0.8449456558952332,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__cvae__novel_generalization__s1,droid_lowdim_full_10x,cvae,novel_generalization,1,0.4260869565217391,0.550561797752809,3.1320137977600098,0.10096930712461472,0.08809824986153937,0.04489215463399887,0.3177566791188105,,,1.0,1.1460988984832763,76,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__new_policy__s1,droid_lowdim_full_10x,inr_diffusion_history_conditioned,new_policy,1,0.6260869565217392,0.8089887640449438,0.63572096824646,0.2484598010778427,0.29405417892183333,0.03234468027949333,0.49845742152950506,,,1.0,0.8449456558952332,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__specialization__s1,droid_lowdim_full_10x,inr_transformer_history_conditioned,specialization,1,0.75,0.75,nan,0.015074766241014004,0.015208121559514556,0.0011024766135960817,0.12277933963421535,,,1.0,0.991231309009552,411,16,16,16
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__single_shift__s0,droid_lowdim_full_10x,inr_transformer_history_conditioned,single_shift,0,0.6818181818181818,0.6818181818181818,nan,0.02100890688598156,0.016698083241852634,0.001359720015898347,0.14494449588025604,,,1.0,1.2581627832183837,411,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_fitted_latent__no_shift__s1,droid_lowdim_full_10x,inr_transformer_fitted_latent,no_shift,1,0.6629213483146067,0.6629213483146067,nan,0.08007755875587463,0.09246190595279978,0.025601301342248917,0.28297978506577925,,,1.0,0.8660600052604676,411,89,89,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_infer_latent_maml__single_shift__s1,droid_lowdim_full_10x,inr_transformer_infer_latent_maml,single_shift,1,0.7045454545454546,0.7045454545454546,nan,0.08806684613227844,0.09477767817971867,0.0273464173078537,0.29676058722862514,,,1.0,0.9291939602622986,411,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__novel_generalization__s1,droid_lowdim_full_10x,inr_transformer_history_conditioned,novel_generalization,1,0.34782608695652173,0.449438202247191,6.434189796447754,0.1285669356584549,0.11217787210911531,0.05171499401330948,0.3585623176777712,,,1.0,1.1460988984832763,76,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_diffusion_history_conditioned__new_policy__s0,droid_lowdim_full_10x,inr_diffusion_history_conditioned,new_policy,0,0.6347826086956522,0.8202247191011236,0.5706300139427185,0.2652071714401245,0.25173072906870886,0.042056623846292496,0.514982690427673,,,1.0,1.053535150123596,411,115,115,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_infer_latent_maml__conflation__s0,droid_lowdim_full_10x,inr_transformer_infer_latent_maml,conflation,0,0.7045454545454546,0.7045454545454546,nan,0.0830300897359848,0.0737156220392747,0.024962691590189934,0.28814942258485404,,,1.0,1.126356767250061,202,44,44,3
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_fitted_latent__specialization__s0,droid_lowdim_full_10x,inr_transformer_fitted_latent,specialization,0,0.6875,0.6875,nan,0.057976383715867996,0.06905111578347384,0.023282671347260475,0.24078285594258575,,,1.0,0.8396154509315491,411,16,16,16
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__cvae__generalization__s0,droid_lowdim_full_10x,cvae,generalization,0,0.5280898876404494,0.5280898876404494,nan,0.09945402294397354,0.07482342220090857,0.04177680239081383,0.31536331895763264,,,1.0,1.3291830287704467,76,89,89,0
outputs/droid_lowdim_full_10x_suite_20260501/droid_lowdim_full_10x__inr_transformer_history_conditioned__new_policy__s1,droid_lowdim_full_10x,inr_transformer_history_conditioned,new_policy,1,0.6,0.7752808988764045,4.1443023681640625,0.01578371413052082,0.018680153002026773,0.0009783791610971093,0.12563325248723295,,,1.0,0.8449456558952332,411,115,115,0
