run_dir,data,model,experiment,seed,probe_acc,probe_acc_seen,knn_acc1,knn_acc5,novel_mean_embed_dist,gen_mse,gen_nmse,gen_median_se,gen_rmse,gen_acc,gen_nll,finite_fraction,target_var,n_train_episodes,n_test_episodes,n_test_episodes_used,n_test_ood
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__conflation__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,conflation,0,0.7109826589595376,0.7109826589595376,0.7225433526011561,0.7947976878612717,nan,nan,nan,nan,,0.20232308023230802,4.749835555613438,1.0,,1608,346,346,103
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__new_policy__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,new_policy,0,0.43671766342141866,0.6514522821576764,0.35048678720445064,0.8678720445062587,0.012136727571487427,nan,nan,nan,,0.20090739073214656,4.4229531982743175,1.0,,2244,719,719,0
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__no_shift__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,no_shift,0,0.6535269709543569,0.6535269709543569,0.5062240663900415,0.970954356846473,nan,nan,nan,nan,,0.2248365673964927,4.280926780308803,1.0,,2244,482,482,0
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__single_shift__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,single_shift,0,0.5375722543352601,0.5375722543352601,0.7254335260115607,0.7976878612716763,nan,nan,nan,nan,,0.2097225209722521,4.422382113004812,1.0,,2244,346,346,103
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__novel_generalization__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,novel_generalization,0,0.33101529902642557,0.49377593360995853,0.41585535465924894,0.9179415855354659,0.011576204560697079,nan,nan,nan,,0.06682482510216804,5.906620041224372,1.0,,962,719,719,0
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__specialization__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,specialization,0,0.5024154589371981,0.5024154589371981,0.5024154589371981,0.9758454106280193,nan,nan,nan,nan,,0.10266547634230327,5.18468711297437,1.0,,2244,207,207,207
outputs/lichess/2x_hk240_latent80/lichess_full_2Xepisode__inr_transformer_fitted_latent__generalization__s0,lichess_full_2Xepisode,inr_transformer_fitted_latent,generalization,0,0.495850622406639,0.495850622406639,0.5954356846473029,0.9730290456431535,nan,nan,nan,nan,,0.06747431773373457,5.881424211448835,1.0,,962,482,482,0
